ID,Is_Lead
VBENBARO,0.08735309945919736
CCMEWNKY,0.7509576209134938
VK3KGA9M,0.08886562733361084
TT8RPZVC,0.06536113020683891
SHQZEYTZ,0.06463443931506192
MZZAQMPT,0.11356280455070034
Y88TW36I,0.11269145096992068
3UGOAQNU,0.08917515064338179
VVUKMUJT,0.8446775216163733
9R363ZXS,0.17326532783468884
BLISM6JE,0.08922055668729702
CH8S7JK7,0.2429035339971336
EAHDPXEJ,0.7199790744634916
BNUK9PRF,0.30957924086138633
GP2PG6FJ,0.08917515064338179
WNQCSN8A,0.07717668211140512
32DN4YVZ,0.41936407399785547
GXAMDANM,0.08917515064338179
MXETLUP4,0.10708622463550042
MPXK6TVE,0.7199790744634916
LBSIME2K,0.17138587307808673
D6ORJTM6,0.087497285074048
HGDIBAKA,0.7174025856368657
UUZYL9DZ,0.3854289866152872
AUGE3VWK,0.08922055668729702
MX7GOX6Q,0.12778563475389199
TQN6K35W,0.09809744945677276
QQDRMQQN,0.4299725863609909
UP6GC6F4,0.08922055668729702
BMHBUVHB,0.5116695565679052
KGLDW86A,0.16226120035940111
FQEOMOP4,0.13481379517734857
DYWM5MEU,0.17890682589229984
DXHGXV8F,0.08922055668729702
AVFBFQKC,0.1833186479764841
DBIDKYMV,0.16361899241491368
KYZHMEBY,0.2378387289288208
SSFEBUGF,0.08917515064338179
MGJTAG8X,0.4128647905078766
MP6BERDO,0.16226120035940111
GXZ8ED68,0.08917503853176463
ICTFGWQR,0.5430267484339513
EAYHTRKH,0.06487905256629597
6FN97QLQ,0.1284535615614258
3H5MZDDW,0.34459931936848975
2DXZZWSN,0.07912235526540422
MM4QIRE5,0.10826316458347612
HJWVYXUA,0.17485759988123964
RBRSJUP3,0.7174025856368657
YFRQKGXW,0.3859441013403075
N3SADEBV,0.08749829018688049
G2A2YYXY,0.07755792124122896
XMGA3WT3,0.08912605863602768
KVZQPSGI,0.17210130479122474
UAKARBBG,0.0880013057053618
WYKKL85Z,0.2385549696864473
GHNYYGRR,0.12982456443954202
UBAJANWT,0.08917503853176463
LSARSF7U,0.062160323354692466
4CNSJVVR,0.21597994529289524
JRHJSWYO,0.33078659764401197
FHZ8SVVI,0.10418156109353059
JUIRE47M,0.7475307963993267
GDIVN2GL,0.09493467462478565
WMF3DYE3,0.6974054205516782
MAQEHEWK,0.17403375272539917
